,Name,Place,Rating Point,Rating Category,Number of Reviews,Distance from Centre,Travel Sustainability,Description
576,Heart of the City Apartment With Pool & Gym Access,"Fortitude Valley, Brisbane",9.5,Exceptional ,2 reviews,2.4 km from centre,Not Travel Sustainable,"In the Fortitude Valley district of Brisbane, close to Brisbane Showgrounds, Heart of the City Apartment With Pool & Gym Access has a fitness centre, free WiFi and a washing machine. "
577,"Manly Oasis, 5bd, 3 King bd,Pool",Brisbane,6.0,Review score ,1 review,16.2 km from centre,Not Travel Sustainable,"Located in Brisbane, just 18 km from The Gabba - Brisbane Cricket Ground, Manly Oasis, 5bd, 3 King bd, Pool provides accommodation with an outdoor swimming pool, a terrace and free WiFi. "
578,Big room in two bedroom apartment shared with only one person,"Spring Hill, Brisbane",10,Exceptional ,1 review,0.8 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from Roma Street Parklands and a 7-minute walk from Brisbane Central Station, Big room in two bedroom apartment shared with only one person offers air conditioning. "
579,"Beautiful Unit with Gym, Pool and BBQ near Museums","South Brisbane, Brisbane",7.6,Good ,5 reviews,1.1 km from centre,Not Travel Sustainable,"Beautiful Unit with Gym, Pool and BBQ near Museums has a balcony and is situated in Brisbane, within just 300 metres of Brisbane Convention & Exhibition Centre and 700 metres of South Brisbane..."
580,AirTrip Apartments on George Street,"Brisbane CBD, Brisbane",5.0,Review score ,17 reviews,400 m from centre,Not Travel Sustainable,"Boasting a sauna, AirTrip Apartments on George Street is set in the heart of Brisbane. This property offers a private pool and free private parking. "
581,"2-Bed Inner-City Apartment With Parking, Balconies","Spring Hill, Brisbane",8.0,Very good ,1 review,1 km from centre,Not Travel Sustainable,"In the Spring Hill district of Brisbane, close to Roma Street Parklands, 2-Bed Inner-City Apartment With Parking, Balconies features free WiFi and a washing machine. "
582,Midnights in Morocco,Brisbane,8.2,Very good ,6 reviews,2.8 km from centre,Travel Sustainable,"Featuring city views, Midnights in Morocco provides accommodation with a garden and a balcony, around 1.9 km from The Gabba - Brisbane Cricket Ground. "
583,Gorgeous 3-Bed Apartment with City Views,Brisbane,Nan,Nan,Nan,4.2 km from centre,Not Travel Sustainable,"Situated in Brisbane, 6.8 km from Story Bridge and 7.9 km from New Farm Riverwalk, Gorgeous 3-Bed Apartment with City Views features air-conditioned accommodation with a patio and free WiFi. "
584,Alluring Private 2BR Apartment - Great Location And Fast Wifi,"Annerley, Brisbane",5.0,Review score ,2 reviews,5.2 km from centre,Not Travel Sustainable,"Alluring Private 2BR Apartment - Great Location And Fast Wifi is set in the Annerley district of Brisbane, 4.4 km from The Gabba - Brisbane Cricket Ground, 5.1 km from Southbank Station and 5.3 km..."
585,Modern 2-storey Apartment with Pool Gym and BBQ,Brisbane,Nan,Nan,Nan,3.2 km from centre,Not Travel Sustainable,"In the Newstead district of Brisbane, close to New Farm Riverwalk, Modern 2-storey Apartment with Pool Gym and BBQ features a fitness centre and a washing machine. "
586,1 Bedroom Studio Apartment Near Eagle Street,"Brisbane CBD, Brisbane",7.4,Good ,5 reviews,0.8 km from centre,Not Travel Sustainable,1 Bedroom Studio Apartment Near Eagle Street is well located in the centre of Brisbane and features a fitness centre. This apartment also has a private pool and free WiFi. 
587,Comfort meets convenience in idyllic two-bedder,"Spring Hill, Brisbane",10,Exceptional ,1 review,0.7 km from centre,Not Travel Sustainable,"Located in Brisbane, 700 metres from Roma Street Parklands and 1.1 km from Queen Street Mall, Comfort meets convenience in idyllic two-bedder provides accommodation with amenities such as free WiFi..."
588,Open 1 Bedroom Apartment in Brisbane City,"Brisbane CBD, Brisbane",Nan,Exceptional 10,15 external reviews,0.7 km from centre,Not Travel Sustainable,"Located in the centre of Brisbane, less than 1 km from Brisbane Central Station and a 6-minute walk from Queen Street Mall, Open 1 Bedroom Apartment in Brisbane City offers free WiFi, a fitness centre..."
589,Tranquil Home Away from Home,Brisbane,5.3,Review score ,4 reviews,7.1 km from centre,Not Travel Sustainable,"Situated in Brisbane, 7.8 km from University of Queensland - St Lucia, 8 km from Boggo Road Gaol and 8.5 km from Suncorp Stadium, Tranquil Home Away from Home features accommodation with a patio and..."
590,Two-Bed with City Views and Parking Near Galleries,"South Brisbane, Brisbane",6.3,Review score ,10 reviews,0.7 km from centre,Not Travel Sustainable,"In the South Brisbane district of Brisbane, close to Queensland Performing Arts Complex (QPAC), Two-Bed with City Views and Parking Near Galleries features barbecue facilities and a washing machine. "
591,Park Avenue Luxe Townhouse Brand New Sleeps 9,"Auchenflower, Brisbane",8.9,Fabulous ,7 reviews,3 km from centre,Not Travel Sustainable,"Featuring garden views, Park Avenue Luxe Townhouse Brand New Sleeps 9 provides accommodation with a balcony and a kettle, around 2.3 km from Suncorp Stadium. "
592,Fairfield Palace,Brisbane,9.7,Exceptional ,4 reviews,4 km from centre,Travel Sustainable,"Fairfield Palace, a property with an outdoor swimming pool and a terrace, is set in Brisbane, 1.4 km from Boggo Road Gaol, 3.6 km from Southbank Station, as well as 3.9 km from South Bank Parklands. "
593,KOZYGURU FORTITUDE VALLEY HOLIDAY STYLE 2 BED APT FREE PARKING QFV211-1601,"Fortitude Valley, Brisbane",5.1,Review score ,7 reviews,1.7 km from centre,Not Travel Sustainable,"KOZYGURU FORTITUDE VALLEY HOLIDAY STYLE 2 BED APT FREE PARKING QFV211-1601 is set in the Fortitude Valley district of Brisbane, less than 1 km from Brisbane Showgrounds, a 12-minute walk from New Farm..."
594,Large and Airy Unit in Quiet Riverside Suburb,Brisbane,3.3,Review score ,3 reviews,6.2 km from centre,Not Travel Sustainable,"Large and Airy Unit in Quiet Riverside Suburb is set in Brisbane, 5.9 km from University of Queensland - St Lucia, 6.6 km from Suncorp Stadium, as well as 7.3 km from Brisbane Convention & Exhibition..."
595,Lovely 2- Bedroom Rental Unit with Free Parking,"Bowen Hills, Brisbane",7.5,Good ,6 reviews,2.4 km from centre,Not Travel Sustainable,"Set in Brisbane, 500 metres from Brisbane Showgrounds and 1.8 km from New Farm Riverwalk, Lovely 2- Bedroom Rental Unit with Free Parking provides accommodation with amenities such as free WiFi and a..."
596,PLUMERIA PLACE / WYNNUM,Brisbane,9.5,Exceptional ,4 reviews,15.5 km from centre,Travel Sustainable,"Set in Brisbane, 17 km from The Gabba - Brisbane Cricket Ground and 18 km from Story Bridge, PLUMERIA PLACE / WYNNUM offers free WiFi, an outdoor swimming pool and air conditioning. "
597,Sunny 2-Bedroom Apartment with Views Brisbane CBD,"Spring Hill, Brisbane",Nan,Nan,Nan,0.8 km from centre,Travel Sustainable,"Sunny 2-Bedroom Apartment with Views Brisbane CBD provides a fitness room and a sauna, as well as air-conditioned accommodation with free WiFi in Brisbane, 500 metres from Roma Street Parklands. "
598,Lovely 2 Bedroom Terrace House in West End,"West End, Brisbane",8.5,Very good ,2 reviews,2 km from centre,Not Travel Sustainable,"Situated in Brisbane, 1.4 km from Brisbane Convention & Exhibition Centre and 1.6 km from Southbank Station, Lovely 2 Bedroom Terrace House in West End features air-conditioned accommodation with a..."
599,2 Bedroom St Lucia Apartment close to UQ and CityCat,Brisbane,7.8,Good ,7 reviews,3.5 km from centre,Not Travel Sustainable,"Located in Brisbane, 1.5 km from University of Queensland - St Lucia and 4.5 km from Suncorp Stadium, 2 Bedroom St Lucia Apartment close to UQ and CityCat provides air-conditioned accommodation with a..."
600,Comfy 2-Bedroom Family Apartment with Free Parking,"Kangaroo Point, Brisbane",Nan,Nan,Nan,2.2 km from centre,Not Travel Sustainable,"Located in Brisbane, 2.1 km from Story Bridge and less than 1 km from The Gabba - Brisbane Cricket Ground, Comfy 2-Bedroom Family Apartment with Free Parking provides air-conditioned accommodation..."
601,KozyGuru / Brisbane CBD / 2B Apt / Swimming pool / GYM / SkyTower QBN222-1804,"Brisbane CBD, Brisbane",3.0,Review score ,1 review,0.7 km from centre,Not Travel Sustainable,"Conveniently situated in the centre of Brisbane, KozyGuru / Brisbane CBD / 2B Apt / Swimming pool / GYM / SkyTower QBN222-1804 is within a short distance of Brisbane Central Station and Queen Street..."
602,KOZYGURU FORTITUDE VALLEY 2 BED DESIGNER APT + FREE PARKING QFV179-803,"Fortitude Valley, Brisbane",7.8,Good ,12 reviews,1.7 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from Brisbane Showgrounds and a 12-minute walk from New Farm Riverwalk, KOZYGURU FORTITUDE VALLEY 2 BED DESIGNER APT + FREE PARKING QFV179-803 offers air conditioning. "
603,KOZYGURU FORTITUDE VALLEY AMAZING VIEW 2BED APT + FREE PARKING QFV010,"Fortitude Valley, Brisbane",6.7,Review score ,4 reviews,2 km from centre,Not Travel Sustainable,"Situated in Brisbane, 400 metres from Brisbane Showgrounds and 1.6 km from New Farm Riverwalk, KOZYGURU FORTITUDE VALLEY AMAZING VIEW 2BED APT + FREE PARKING QFV010 offers air conditioning. "
604,Stunning 1-Bed with Breathtaking Views,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,Stunning 1-Bed with Breathtaking Views is well situated in the centre of Brisbane and features a fitness centre. 
605,Open 1 Bedroom Apartment in Brisbane City,"Brisbane CBD, Brisbane",Nan,Exceptional 10,15 external reviews,0.7 km from centre,Not Travel Sustainable,"Located in the centre of Brisbane, less than 1 km from Brisbane Central Station and a 6-minute walk from Queen Street Mall, Open 1 Bedroom Apartment in Brisbane City offers free WiFi, a fitness centre..."
606,LvL29 Rooftop Pool Carpark Netflix,Brisbane,8.0,Very good ,1 review,1.1 km from centre,Not Travel Sustainable,"LvL29 Rooftop Pool Carpark Netflix is a property with a private pool, situated in Brisbane, within just 1.2 km of Queen Street Mall and 1.3 km of New Farm Riverwalk. "
607,Absolute Waterfront,Brisbane,7.7,Good ,16 reviews,16.8 km from centre,Not Travel Sustainable,"Featuring free bikes, a garden, and a shared lounge, Absolute Waterfront offers accommodation in Brisbane with free WiFi and sea views. "
608,Holiday Home in Paddington,"Paddington, Brisbane",Nan,Nan,Nan,3 km from centre,Not Travel Sustainable,"Situated in Brisbane, 2.2 km from Suncorp Stadium, 3.6 km from Roma Street Parklands and 4.2 km from Roma Street Station, Holiday Home in Paddington features accommodation with a patio and free WiFi. "
609,Bali Style Designer's House in Central location,Brisbane,Nan,Nan,Nan,11.3 km from centre,Not Travel Sustainable,"Offering free WiFi and garden views, Bali Style Designer's House in Central location is an accommodation located in Brisbane. "
610,City Oasis in CBD with free secured parking,"Spring Hill, Brisbane",Nan,Nan,Nan,1 km from centre,Not Travel Sustainable,"Boasting garden views, City Oasis in CBD with free secured parking features accommodation with a terrace and a balcony, around 700 metres from Brisbane Central Station. "
611,Stylish 2 Bed Apt w/ Car Park,"Spring Hill, Brisbane",Nan,Nan,Nan,1 km from centre,Not Travel Sustainable,"Stylish 2 Bed Apt w/ Car Park, a property with an outdoor swimming pool, is located in Brisbane, less than 1 km from Brisbane Central Station, a 16-minute walk from Queen Street Mall, as well as 1.5..."
612,Panoramic 2-Bed Unit in Heart of Fortitude Valley,"Fortitude Valley, Brisbane",Nan,Nan,Nan,2.1 km from centre,Not Travel Sustainable,"Situated about less than 1 km from New Farm Riverwalk, Panoramic 2-Bed Unit in Heart of Fortitude Valley offers accommodation with an outdoor pool and free WiFi. "
613,Linc Apartments Riverside Abode,"Kangaroo Point, Brisbane",Nan,Nan,Nan,1.4 km from centre,Not Travel Sustainable,"Situated in Brisbane, within 1.1 km of Story Bridge and 800 metres of New Farm Riverwalk, Linc Apartments Riverside Abode offers accommodation with free WiFi, air conditioning, an outdoor swimming..."
614,Stylish Stay for Couples in CBD by Stylish Stays,"Brisbane CBD, Brisbane",Nan,Nan,Nan,150 m from centre,Not Travel Sustainable,"Set in Brisbane, Stylish Stay for Couples in CBD by Stylish Stays offers a private pool and free WiFi. "
615,Executively Inspired - The Hutt,"Brisbane CBD, Brisbane",Nan,Nan,Nan,1.1 km from centre,Not Travel Sustainable,"Within 700 metres of Brisbane Central Station and 1.2 km of Queen Street Mall, Executively Inspired - The Hutt provides free WiFi and a fitness centre. "
616,"Inner City Pad, Indooroopilly",Brisbane,Nan,Nan,Nan,6.1 km from centre,Not Travel Sustainable,"Situated in Brisbane, 5.9 km from University of Queensland - St Lucia, 6.3 km from Suncorp Stadium and 7.1 km from Brisbane Convention & Exhibition Centre, Inner City Pad, Indooroopilly features..."
617,High-End Spacious 2BR Apartment,Brisbane,Nan,Nan,Nan,2.2 km from centre,Not Travel Sustainable,"Set in Brisbane, 1.5 km from Southbank Station and 1.8 km from South Bank Parklands, High-End Spacious 2BR Apartment provides accommodation with amenities such as free WiFi and a flat-screen TV. "
618,Charming 2-Bed Apartment with City Views,"New Farm, Brisbane",Nan,Nan,Nan,1.9 km from centre,Not Travel Sustainable,"Featuring air-conditioned accommodation with a patio, Charming 2-Bed Apartment with City Views is located in Brisbane. "
619,City Escape House at Cultural Centre Precinct,"South Brisbane, Brisbane",8.0,Very good ,4 reviews,0.7 km from centre,Not Travel Sustainable,"Featuring garden views, City Escape House at Cultural Centre Precinct provides accommodation with an outdoor swimming pool, a fitness centre and a terrace, around 600 metres from Queensland Performing..."
620,Perfect on Prince,Brisbane,Nan,Nan,Nan,10.1 km from centre,Not Travel Sustainable,"Located just 6.2 km from Brisbane Entertainment Centre, Perfect on Prince provides accommodation in Brisbane with access to an outdoor swimming pool, a shared lounge, as well as a shared kitchen. "
621,Amazing 2 Bed in the Valley w Pool,"Fortitude Valley, Brisbane",Nan,Nan,Nan,1.8 km from centre,Not Travel Sustainable,"Set 800 metres from Brisbane Showgrounds, 1.1 km from New Farm Riverwalk and 1.6 km from Brisbane Central Station, Amazing 2 Bed in the Valley w Pool offers accommodation situated in Brisbane. "
622,Swan Guest House,Brisbane,Nan,Nan,Nan,6.1 km from centre,Not Travel Sustainable,"Set in Brisbane, 5 km from Brisbane Showgrounds, Swan Guest House offers accommodation with a garden, free private parking and a shared lounge. "
623,Chermside deluxe 3 bedroom brand new apartment,"Chermside, Brisbane",Nan,Nan,Nan,9.2 km from centre,Not Travel Sustainable,"Within 10 km of Brisbane Entertainment Centre and 10 km of Roma Street Parklands, Chermside deluxe 3 bedroom brand new apartment provides free WiFi and a terrace. "
624,Sky City View Appartment,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Set in Brisbane, less than 1 km from Brisbane Central Station and a 7-minute walk from Queen Street Mall, Sky City View Appartment offers air-conditioned accommodation with a balcony and free WiFi. "
625,Sky View Appartment CBD,"Brisbane CBD, Brisbane",Nan,Nan,Nan,0.7 km from centre,Not Travel Sustainable,"Sky View Appartment CBD is a property with a private pool, set in Brisbane, within just 600 metres of Queen Street Mall and 600 metres of City Botanical Gardens. "
